producto,unidad,mayorista,minimo,maximo,moda,promedio,fecha,año,mes,año_mes,producto_limpio,producto_estandar
Cebolla seca morada,Kilo,Kilo,1700.0,2000.0,1800.0,1820.0,2026-01-27,2026,1,2026-01,Cebolla Seca Morada,Cebolla Seca Morada
Chayote tierno criollo,Java,Java,10000.0,14000.0,12000.0,12000.0,2026-01-27,2026,1,2026-01,Chayote Tierno Criollo,Chayote Tierno Criollo
Chayote tierno quelite,Java,Java,10000.0,14000.0,12000.0,11857.14,2026-01-27,2026,1,2026-01,Chayote Tierno Quelite,Chayote Tierno Quelite
Chile dulce jumbo Caja,plástica,plástica,26000.0,27000.0,27000.0,26571.43,2026-01-27,2026,1,2026-01,Chile Dulce Jumbo,Chile Dulce Jumbo
Chile dulce primera Caja,plástica,plástica,25000.0,26000.0,26000.0,25600.0,2026-01-27,2026,1,2026-01,Chile Dulce Primera,Chile Dulce Primera
Chile dulce segunda Caja,plástica,plástica,23000.0,24000.0,24000.0,23625.0,2026-01-27,2026,1,2026-01,Chile Dulce Segunda,Chile Dulce Segunda
Chile dulce tercera Caja,plástica,plástica,13000.0,14000.0,13000.0,13444.44,2026-01-27,2026,1,2026-01,Chile Dulce Tercera,Chile Dulce Tercera
Coliflor,Unidad,Unidad,700.0,900.0,800.0,803.13,2026-01-27,2026,1,2026-01,Coliflor,Coliflor
Culantro castilla Rollo de 10,rollitos,rollitos,700.0,800.0,800.0,766.67,2026-01-27,2026,1,2026-01,Culantro Castilla De,Culantro Castilla De
Elote,Unidad,Unidad,150.0,150.0,150.0,150.0,2026-01-27,2026,1,2026-01,Elote,Elote
Guanábana injertada,Kilo,Kilo,1800.0,2000.0,1800.0,1880.0,2026-01-27,2026,1,2026-01,Guanábana Injertada,Guanábana Injertada
Jengibre sazón,Kilo,Kilo,800.0,1000.0,1000.0,977.78,2026-01-27,2026,1,2026-01,Jengibre Sazón,Jengibre Sazón
Lechuga Americana,Unidad,Unidad,200.0,250.0,250.0,231.25,2026-01-27,2026,1,2026-01,Lechuga Americana,Lechuga Americana
Limón mandarina,Unidad,Unidad,70.0,100.0,80.0,83.33,2026-01-27,2026,1,2026-01,Limón Mandarina,Limón Mandarina
Limón mesino,Unidad,Unidad,120.0,150.0,140.0,140.0,2026-01-27,2026,1,2026-01,Limón Mesino,Limón Mesino
Mandarina primera,Unidad,Unidad,180.0,200.0,200.0,196.67,2026-01-27,2026,1,2026-01,Mandarina Primera,Mandarina Primera
Mandarina segunda,Unidad,Unidad,150.0,150.0,150.0,150.0,2026-01-27,2026,1,2026-01,Mandarina Segunda,Mandarina Segunda
Manga grande Cavallini Caja plástica (17,kg),kg),17000.0,20000.0,18000.0,18500.0,2026-01-27,2026,1,2026-01,Manga Grande Cavallini,Manga Grande Cavallini
Manga grande Keitt Caja plástica (17,kg),kg),12000.0,13000.0,12000.0,12333.33,2026-01-27,2026,1,2026-01,Manga Grande Keitt,Manga Grande Keitt
Manga grande Tommy Caja plástica (17,kg),kg),17000.0,20000.0,18000.0,18250.0,2026-01-27,2026,1,2026-01,Manga Grande Tommy,Manga Grande Tommy
Melón Cantaloupe,Kilo,Kilo,500.0,600.0,500.0,545.83,2026-01-27,2026,1,2026-01,Melón Cantaloupe,Melón Cantaloupe
Naranja dulce,Unidad,Unidad,100.0,120.0,120.0,113.33,2026-01-27,2026,1,2026-01,Naranja Dulce,Naranja Dulce
Ñampí,Kilo,Kilo,700.0,800.0,800.0,766.67,2026-01-27,2026,1,2026-01,Ñampí,Ñampí
Papa amarilla primera Malla (45,kg),kg),33000.0,38000.0,35000.0,34937.5,2026-01-27,2026,1,2026-01,Papa Amarilla Primera,Papa Amarilla
Papa blanca primera Malla (45,kg),kg),35000.0,40000.0,38000.0,37055.56,2026-01-27,2026,1,2026-01,Papa Blanca Primera,Papa Blanca
Papaya híbrida,Kilo,Kilo,400.0,500.0,450.0,438.46,2026-01-27,2026,1,2026-01,Papaya Híbrida,Papaya Híbrida
Pepino,Kilo,Kilo,500.0,700.0,600.0,611.11,2026-01-27,2026,1,2026-01,Pepino,Pepino
Piña - grande,Unidad,Unidad,1100.0,1200.0,1200.0,1180.0,2026-01-27,2026,1,2026-01,Piña Grande,Piña
Piña - mediana,Unidad,Unidad,900.0,1000.0,1000.0,980.0,2026-01-27,2026,1,2026-01,Piña Mediana,Piña
Piña - pequeña,Unidad,Unidad,800.0,800.0,800.0,800.0,2026-01-27,2026,1,2026-01,Piña Pequeña,Piña
Plátano primera (verde y maduro),Unidad,Unidad,220.0,240.0,240.0,235.0,2026-01-27,2026,1,2026-01,Plátano Primera,Plátano Primera
Plátano segunda (verde y maduro),Unidad,Unidad,180.0,200.0,200.0,193.33,2026-01-27,2026,1,2026-01,Plátano Segunda,Plátano Segunda
Remolacha,Unidad,Unidad,250.0,300.0,300.0,283.33,2026-01-27,2026,1,2026-01,Remolacha,Remolacha
Repollo morado,Kilo,Kilo,600.0,800.0,700.0,675.0,2026-01-27,2026,1,2026-01,Repollo Morado,Repollo Morado
Repollo verde,Kilo,Kilo,250.0,300.0,250.0,273.53,2026-01-27,2026,1,2026-01,Repollo Verde,Repollo Verde
Sandía de campo - grande,Kilo,Kilo,400.0,500.0,450.0,453.57,2026-01-27,2026,1,2026-01,Sandía De Campo Grande,Sandía Grande de Campo
Sandía de campo - mediana,Kilo,Kilo,300.0,350.0,300.0,320.0,2026-01-27,2026,1,2026-01,Sandía De Campo Mediana,Sandía Mediana de Campo
Tiquisque,Kilo,Kilo,1500.0,1600.0,1500.0,1525.0,2026-01-27,2026,1,2026-01,Tiquisque,Tiquisque
Tomate primera Caja plástica (18,kg),kg),7000.0,8000.0,7000.0,7250.0,2026-01-27,2026,1,2026-01,Tomate Primera,Tomate
Tomate segunda Caja plástica (18,kg),kg),6000.0,7000.0,6000.0,6230.77,2026-01-27,2026,1,2026-01,Tomate Segunda,Tomate
Tomate tercera Caja plástica (18,kg),kg),5000.0,6000.0,5000.0,5153.85,2026-01-27,2026,1,2026-01,Tomate Tercera,Tomate
Vainica,Kilo,Kilo,1800.0,2000.0,2000.0,1925.0,2026-01-27,2026,1,2026-01,Vainica,Vainica
Yuca parafinada,Kilo,Kilo,600.0,700.0,600.0,633.33,2026-01-27,2026,1,2026-01,Yuca Parafinada,Yuca Parafinada
Zanahoria primera Malla (45,kg),kg),10000.0,12000.0,10000.0,10875.0,2026-01-27,2026,1,2026-01,Zanahoria Primera,Zanahoria
Apio verde (mata),Mata,Mata,1000.0,1300.0,1200.0,1192.86,2026-01-28,2026,1,2026-01,Apio Verde,Apio Verde
Ayote sazón,Kilo,Kilo,300.0,400.0,350.0,350.0,2026-01-28,2026,1,2026-01,Ayote Sazón,Ayote Sazón
Ayote sazón mantequilla,Kilo,Kilo,700.0,800.0,800.0,770.0,2026-01-28,2026,1,2026-01,Ayote Sazón Mantequilla,Ayote Sazón Mantequilla
Ayote tierno,Unidad,Unidad,400.0,600.0,500.0,527.27,2026-01-28,2026,1,2026-01,Ayote Tierno,Ayote Tierno
Banano maduro criollo,Unidad,Unidad,30.0,35.0,30.0,30.56,2026-01-28,2026,1,2026-01,Banano Maduro Criollo,Banano Maduro Criollo
Banano rechazo de exportación (verde y maduro),Caja,Caja,2800.0,3000.0,3000.0,2960.0,2026-01-28,2026,1,2026-01,Banano Rechazo De Exportación,Banano Rechazo De Exportación
Brócoli,Kilo,Kilo,1200.0,1500.0,1500.0,1378.95,2026-01-28,2026,1,2026-01,Brócoli,Brócoli
Camote,Kilo,Kilo,700.0,800.0,700.0,733.33,2026-01-28,2026,1,2026-01,Camote,Camote
Camote Zanahoria,Kilo,Kilo,1500.0,1600.0,1500.0,1537.5,2026-01-28,2026,1,2026-01,Camote Zanahoria,Camote Zanahoria
Carambola,Kilo,Kilo,600.0,800.0,700.0,700.0,2026-01-28,2026,1,2026-01,Carambola,Carambola
Cas,Kilo,Kilo,1100.0,1300.0,1200.0,1200.0,2026-01-28,2026,1,2026-01,Cas,Cas
Cebolla seca amarilla burra,Kilo,Kilo,750.0,800.0,750.0,768.18,2026-01-28,2026,1,2026-01,Cebolla Seca Amarilla Burra,Cebolla Seca Amarilla Burra
Cebolla seca amarilla suelta,Kilo,Kilo,750.0,800.0,750.0,768.18,2026-01-28,2026,1,2026-01,Cebolla Seca Amarilla Suelta,Cebolla Seca Amarilla Suelta
Cebolla seca amarilla trenza,Kilo,Kilo,750.0,800.0,750.0,768.18,2026-01-28,2026,1,2026-01,Cebolla Seca Amarilla Trenza,Cebolla Seca Amarilla Trenza
Cebolla seca morada,Kilo,Kilo,1700.0,2000.0,1800.0,1854.55,2026-01-28,2026,1,2026-01,Cebolla Seca Morada,Cebolla Seca Morada
Cebollino,Rollo,Rollo,200.0,250.0,250.0,230.95,2026-01-28,2026,1,2026-01,Cebollino,Cebollino
Chayote tierno criollo,Java,Java,12000.0,14000.0,12000.0,12555.56,2026-01-28,2026,1,2026-01,Chayote Tierno Criollo,Chayote Tierno Criollo
Chayote tierno quelite,Java,Java,10000.0,12000.0,10000.0,10333.33,2026-01-28,2026,1,2026-01,Chayote Tierno Quelite,Chayote Tierno Quelite
Chile dulce jumbo Caja,plástica,plástica,27000.0,28000.0,27000.0,27333.33,2026-01-28,2026,1,2026-01,Chile Dulce Jumbo,Chile Dulce Jumbo
Chile dulce primera Caja,plástica,plástica,26000.0,27000.0,26000.0,26428.57,2026-01-28,2026,1,2026-01,Chile Dulce Primera,Chile Dulce Primera
Chile dulce segunda Caja,plástica,plástica,24000.0,25000.0,24000.0,24428.57,2026-01-28,2026,1,2026-01,Chile Dulce Segunda,Chile Dulce Segunda
Chile dulce tercera Caja,plástica,plástica,13000.0,14000.0,14000.0,13714.29,2026-01-28,2026,1,2026-01,Chile Dulce Tercera,Chile Dulce Tercera
Coco,Unidad,Unidad,500.0,500.0,500.0,500.0,2026-01-28,2026,1,2026-01,Coco,Coco
Coliflor,Unidad,Unidad,700.0,1000.0,800.0,782.35,2026-01-28,2026,1,2026-01,Coliflor,Coliflor
Culantro castilla Rollo de 10,rollitos,rollitos,600.0,800.0,800.0,733.33,2026-01-28,2026,1,2026-01,Culantro Castilla De,Culantro Castilla De
Elote,Unidad,Unidad,130.0,150.0,150.0,146.67,2026-01-28,2026,1,2026-01,Elote,Elote
Espinaca,Rollo,Rollo,200.0,250.0,250.0,230.56,2026-01-28,2026,1,2026-01,Espinaca,Espinaca
Fresa (1 Kg) Bandeja (1,kg),kg),2000.0,2500.0,2200.0,2200.0,2026-01-28,2026,1,2026-01,Fresa Bandeja,Fresa Bandeja
Fresa (400 g) Bandeja (400,g),g),900.0,1300.0,1200.0,1115.38,2026-01-28,2026,1,2026-01,Fresa Bandeja,Fresa Bandeja
Guanábana injertada,Kilo,Kilo,1600.0,1800.0,1800.0,1750.0,2026-01-28,2026,1,2026-01,Guanábana Injertada,Guanábana Injertada
Guayaba China/Taiwanesa,Kilo,Kilo,800.0,1000.0,900.0,900.0,2026-01-28,2026,1,2026-01,Guayaba China Taiwanesa,Guayaba China Taiwanesa
Jengibre sazón,Kilo,Kilo,800.0,1000.0,1000.0,925.0,2026-01-28,2026,1,2026-01,Jengibre Sazón,Jengibre Sazón
Lechuga Americana,Unidad,Unidad,200.0,250.0,250.0,232.35,2026-01-28,2026,1,2026-01,Lechuga Americana,Lechuga Americana
Limón mandarina,Unidad,Unidad,70.0,90.0,80.0,77.0,2026-01-28,2026,1,2026-01,Limón Mandarina,Limón Mandarina
Limón mesino,Unidad,Unidad,120.0,150.0,130.0,133.64,2026-01-28,2026,1,2026-01,Limón Mesino,Limón Mesino
Mandarina primera,Unidad,Unidad,200.0,220.0,200.0,203.33,2026-01-28,2026,1,2026-01,Mandarina Primera,Mandarina Primera
Mandarina segunda,Unidad,Unidad,120.0,150.0,150.0,145.0,2026-01-28,2026,1,2026-01,Mandarina Segunda,Mandarina Segunda
Manga grande Cavallini Caja plástica (17,kg),kg),18000.0,20000.0,20000.0,19428.57,2026-01-28,2026,1,2026-01,Manga Grande Cavallini,Manga Grande Cavallini
Manga grande Keitt Caja plástica (17,kg),kg),10000.0,13000.0,10000.0,11000.0,2026-01-28,2026,1,2026-01,Manga Grande Keitt,Manga Grande Keitt
Manga grande Tommy Caja plástica (17,kg),kg),18000.0,20000.0,20000.0,19200.0,2026-01-28,2026,1,2026-01,Manga Grande Tommy,Manga Grande Tommy
Maracuyá,Kilo,Kilo,1200.0,1300.0,1200.0,1233.33,2026-01-28,2026,1,2026-01,Maracuyá,Maracuyá
Melón Cantaloupe,Kilo,Kilo,500.0,600.0,500.0,528.57,2026-01-28,2026,1,2026-01,Melón Cantaloupe,Melón Cantaloupe
Mora congelada,Kilo,Kilo,1600.0,2000.0,1600.0,1740.0,2026-01-28,2026,1,2026-01,Mora Congelada,Mora Congelada
Mora fresca,Kilo,Kilo,1600.0,2000.0,1600.0,1750.0,2026-01-28,2026,1,2026-01,Mora Fresca,Mora Fresca
Naranja dulce,Unidad,Unidad,100.0,120.0,120.0,113.75,2026-01-28,2026,1,2026-01,Naranja Dulce,Naranja Dulce
Naranjilla,Kilo,Kilo,1300.0,1500.0,1500.0,1450.0,2026-01-28,2026,1,2026-01,Naranjilla,Naranjilla
Ñampí,Kilo,Kilo,700.0,800.0,700.0,744.44,2026-01-28,2026,1,2026-01,Ñampí,Ñampí
Papa amarilla primera Malla (45,kg),kg),33000.0,38000.0,35000.0,34615.38,2026-01-28,2026,1,2026-01,Papa Amarilla Primera,Papa Amarilla
Papa blanca primera Malla (45,kg),kg),35000.0,40000.0,40000.0,37518.52,2026-01-28,2026,1,2026-01,Papa Blanca Primera,Papa Blanca
Papa polilla Malla (45,kg),kg),5000.0,8000.0,6000.0,6416.67,2026-01-28,2026,1,2026-01,Papa Polilla,Papa Polilla
Papa roja Malla (45,kg),kg),22000.0,25000.0,25000.0,24000.0,2026-01-28,2026,1,2026-01,Papa Roja,Papa Roja
Papa semilla Malla (45,kg),kg),12000.0,15000.0,12000.0,13166.67,2026-01-28,2026,1,2026-01,Papa Semilla,Papa Semilla
Papa semillón Malla (45,kg),kg),12000.0,15000.0,12000.0,13166.67,2026-01-28,2026,1,2026-01,Papa Semillón,Papa Semillón
Papaya híbrida,Kilo,Kilo,350.0,450.0,400.0,405.56,2026-01-28,2026,1,2026-01,Papaya Híbrida,Papaya Híbrida
Pepino,Kilo,Kilo,600.0,700.0,600.0,622.22,2026-01-28,2026,1,2026-01,Pepino,Pepino
Piña - grande,Unidad,Unidad,1200.0,1200.0,1200.0,1200.0,2026-01-28,2026,1,2026-01,Piña Grande,Piña
Piña - mediana,Unidad,Unidad,900.0,1000.0,1000.0,983.33,2026-01-28,2026,1,2026-01,Piña Mediana,Piña
Piña - pequeña,Unidad,Unidad,700.0,800.0,800.0,771.43,2026-01-28,2026,1,2026-01,Piña Pequeña,Piña
Pipa pelada,Unidad,Unidad,280.0,300.0,300.0,292.0,2026-01-28,2026,1,2026-01,Pipa Pelada,Pipa Pelada
Plátano primera (verde y maduro),Unidad,Unidad,220.0,240.0,230.0,230.0,2026-01-28,2026,1,2026-01,Plátano Primera,Plátano Primera
Plátano segunda (verde y maduro),Unidad,Unidad,150.0,200.0,200.0,185.83,2026-01-28,2026,1,2026-01,Plátano Segunda,Plátano Segunda
Remolacha,Unidad,Unidad,250.0,350.0,300.0,291.38,2026-01-28,2026,1,2026-01,Remolacha,Remolacha
Repollo morado,Kilo,Kilo,600.0,800.0,700.0,670.59,2026-01-28,2026,1,2026-01,Repollo Morado,Repollo Morado
Repollo verde,Kilo,Kilo,250.0,300.0,300.0,276.09,2026-01-28,2026,1,2026-01,Repollo Verde,Repollo Verde
Sandía de campo - grande,Kilo,Kilo,400.0,500.0,450.0,455.56,2026-01-28,2026,1,2026-01,Sandía De Campo Grande,Sandía Grande de Campo
Sandía de campo - mediana,Kilo,Kilo,250.0,350.0,300.0,295.83,2026-01-28,2026,1,2026-01,Sandía De Campo Mediana,Sandía Mediana de Campo
Tamarindo,Kilo,Kilo,2000.0,2000.0,2000.0,2000.0,2026-01-28,2026,1,2026-01,Tamarindo,Tamarindo
Tiquisque,Kilo,Kilo,1500.0,1600.0,1500.0,1533.33,2026-01-28,2026,1,2026-01,Tiquisque,Tiquisque
Tomate primera Caja plástica (18,kg),kg),7000.0,8000.0,7000.0,7200.0,2026-01-28,2026,1,2026-01,Tomate Primera,Tomate
Tomate segunda Caja plástica (18,kg),kg),6000.0,7000.0,6000.0,6125.0,2026-01-28,2026,1,2026-01,Tomate Segunda,Tomate
Tomate tercera Caja plástica (18,kg),kg),5000.0,6000.0,5000.0,5125.0,2026-01-28,2026,1,2026-01,Tomate Tercera,Tomate
Vainica,Kilo,Kilo,1700.0,2000.0,1800.0,1872.73,2026-01-28,2026,1,2026-01,Vainica,Vainica
Yuca parafinada,Kilo,Kilo,600.0,650.0,600.0,611.11,2026-01-28,2026,1,2026-01,Yuca Parafinada,Yuca Parafinada
Zanahoria primera Malla (45,kg),kg),10000.0,12000.0,10000.0,10640.0,2026-01-28,2026,1,2026-01,Zanahoria Primera,Zanahoria
Zuquini,Unidad,Unidad,350.0,500.0,400.0,400.0,2026-01-28,2026,1,2026-01,Zuquini,Zuquini
Apio verde (mata),Mata,Mata,1000.0,1300.0,1000.0,1100.0,2026-01-30,2026,1,2026-01,Apio Verde,Apio Verde
Ayote sazón,Kilo,Kilo,300.0,400.0,400.0,360.71,2026-01-30,2026,1,2026-01,Ayote Sazón,Ayote Sazón
Ayote sazón mantequilla,Kilo,Kilo,700.0,800.0,700.0,742.86,2026-01-30,2026,1,2026-01,Ayote Sazón Mantequilla,Ayote Sazón Mantequilla
Ayote tierno,Unidad,Unidad,400.0,500.0,500.0,453.33,2026-01-30,2026,1,2026-01,Ayote Tierno,Ayote Tierno
Banano maduro criollo,Unidad,Unidad,25.0,30.0,30.0,28.89,2026-01-30,2026,1,2026-01,Banano Maduro Criollo,Banano Maduro Criollo
Banano rechazo de exportación (verde y maduro),Caja,Caja,2700.0,3000.0,3000.0,2912.5,2026-01-30,2026,1,2026-01,Banano Rechazo De Exportación,Banano Rechazo De Exportación
Brócoli,Kilo,Kilo,1300.0,1800.0,1500.0,1526.67,2026-01-30,2026,1,2026-01,Brócoli,Brócoli
Camote,Kilo,Kilo,700.0,800.0,800.0,762.5,2026-01-30,2026,1,2026-01,Camote,Camote
Camote Zanahoria,Kilo,Kilo,1400.0,1600.0,1600.0,1542.86,2026-01-30,2026,1,2026-01,Camote Zanahoria,Camote Zanahoria
Carambola,Kilo,Kilo,600.0,800.0,700.0,711.11,2026-01-30,2026,1,2026-01,Carambola,Carambola
Cas,Kilo,Kilo,1100.0,1300.0,1200.0,1200.0,2026-01-30,2026,1,2026-01,Cas,Cas
Cebolla seca amarilla burra,Kilo,Kilo,750.0,800.0,800.0,777.78,2026-01-30,2026,1,2026-01,Cebolla Seca Amarilla Burra,Cebolla Seca Amarilla Burra
Cebolla seca amarilla suelta,Kilo,Kilo,700.0,750.0,750.0,743.75,2026-01-30,2026,1,2026-01,Cebolla Seca Amarilla Suelta,Cebolla Seca Amarilla Suelta
Cebolla seca amarilla trenza,Kilo,Kilo,700.0,750.0,750.0,743.75,2026-01-30,2026,1,2026-01,Cebolla Seca Amarilla Trenza,Cebolla Seca Amarilla Trenza
Cebolla seca morada,Kilo,Kilo,1700.0,2000.0,1800.0,1800.0,2026-01-30,2026,1,2026-01,Cebolla Seca Morada,Cebolla Seca Morada
Cebollino,Rollo,Rollo,200.0,250.0,250.0,226.92,2026-01-30,2026,1,2026-01,Cebollino,Cebollino
Chayote tierno criollo,Java,Java,13000.0,15000.0,15000.0,14142.86,2026-01-30,2026,1,2026-01,Chayote Tierno Criollo,Chayote Tierno Criollo
Chayote tierno quelite,Java,Java,13000.0,15000.0,14000.0,14000.0,2026-01-30,2026,1,2026-01,Chayote Tierno Quelite,Chayote Tierno Quelite
Chile dulce jumbo Caja,plástica,plástica,19000.0,20000.0,20000.0,19875.0,2026-01-30,2026,1,2026-01,Chile Dulce Jumbo,Chile Dulce Jumbo
Chile dulce primera Caja,plástica,plástica,17000.0,19000.0,18000.0,17833.33,2026-01-30,2026,1,2026-01,Chile Dulce Primera,Chile Dulce Primera
Chile dulce segunda Caja,plástica,plástica,13000.0,14000.0,13000.0,13428.57,2026-01-30,2026,1,2026-01,Chile Dulce Segunda,Chile Dulce Segunda
Chile dulce tercera Caja,plástica,plástica,8000.0,10000.0,8000.0,8555.56,2026-01-30,2026,1,2026-01,Chile Dulce Tercera,Chile Dulce Tercera
Coco,Unidad,Unidad,500.0,500.0,500.0,500.0,2026-01-30,2026,1,2026-01,Coco,Coco
Coliflor,Unidad,Unidad,700.0,800.0,800.0,757.89,2026-01-30,2026,1,2026-01,Coliflor,Coliflor
Culantro castilla Rollo de 10,rollitos,rollitos,600.0,1000.0,800.0,830.77,2026-01-30,2026,1,2026-01,Culantro Castilla De,Culantro Castilla De
Elote,Unidad,Unidad,150.0,150.0,150.0,150.0,2026-01-30,2026,1,2026-01,Elote,Elote
Espinaca,Rollo,Rollo,200.0,300.0,250.0,243.75,2026-01-30,2026,1,2026-01,Espinaca,Espinaca
Fresa (1 Kg) Bandeja (1,kg),kg),2200.0,2500.0,2200.0,2300.0,2026-01-30,2026,1,2026-01,Fresa Bandeja,Fresa Bandeja
Fresa (400 g) Bandeja (400,g),g),1100.0,1300.0,1200.0,1214.29,2026-01-30,2026,1,2026-01,Fresa Bandeja,Fresa Bandeja
Guanábana injertada,Kilo,Kilo,1600.0,2000.0,1700.0,1771.43,2026-01-30,2026,1,2026-01,Guanábana Injertada,Guanábana Injertada
Guayaba China/Taiwanesa,Kilo,Kilo,700.0,1000.0,900.0,870.0,2026-01-30,2026,1,2026-01,Guayaba China Taiwanesa,Guayaba China Taiwanesa
Jengibre sazón,Kilo,Kilo,1000.0,1200.0,1000.0,1040.0,2026-01-30,2026,1,2026-01,Jengibre Sazón,Jengibre Sazón
Lechuga Americana,Unidad,Unidad,200.0,250.0,200.0,223.08,2026-01-30,2026,1,2026-01,Lechuga Americana,Lechuga Americana
Limón mandarina,Unidad,Unidad,80.0,100.0,100.0,94.55,2026-01-30,2026,1,2026-01,Limón Mandarina,Limón Mandarina
Limón mesino,Unidad,Unidad,120.0,150.0,150.0,143.08,2026-01-30,2026,1,2026-01,Limón Mesino,Limón Mesino
Mandarina primera,Unidad,Unidad,180.0,200.0,200.0,196.0,2026-01-30,2026,1,2026-01,Mandarina Primera,Mandarina Primera
Mandarina segunda,Unidad,Unidad,150.0,160.0,150.0,152.22,2026-01-30,2026,1,2026-01,Mandarina Segunda,Mandarina Segunda
Manga grande Cavallini Caja plástica (17,kg),kg),17000.0,18000.0,18000.0,17571.43,2026-01-30,2026,1,2026-01,Manga Grande Cavallini,Manga Grande Cavallini
Manga grande Keitt Caja plástica (17,kg),kg),10000.0,12000.0,12000.0,11142.86,2026-01-30,2026,1,2026-01,Manga Grande Keitt,Manga Grande Keitt
Manga grande Tommy Caja plástica (17,kg),kg),17000.0,18000.0,18000.0,17600.0,2026-01-30,2026,1,2026-01,Manga Grande Tommy,Manga Grande Tommy
Maracuyá,Kilo,Kilo,1100.0,1300.0,1200.0,1214.29,2026-01-30,2026,1,2026-01,Maracuyá,Maracuyá
Melón Cantaloupe,Kilo,Kilo,450.0,550.0,500.0,505.0,2026-01-30,2026,1,2026-01,Melón Cantaloupe,Melón Cantaloupe
Mora congelada,Kilo,Kilo,1600.0,1800.0,1600.0,1671.43,2026-01-30,2026,1,2026-01,Mora Congelada,Mora Congelada
Mora fresca,Kilo,Kilo,1600.0,1800.0,1600.0,1671.43,2026-01-30,2026,1,2026-01,Mora Fresca,Mora Fresca
Naranja dulce,Unidad,Unidad,100.0,120.0,120.0,110.77,2026-01-30,2026,1,2026-01,Naranja Dulce,Naranja Dulce
Naranjilla,Kilo,Kilo,1300.0,1500.0,1500.0,1457.14,2026-01-30,2026,1,2026-01,Naranjilla,Naranjilla
Ñampí,Kilo,Kilo,700.0,1000.0,800.0,810.0,2026-01-30,2026,1,2026-01,Ñampí,Ñampí
Papa amarilla primera Malla (45,kg),kg),33000.0,38000.0,35000.0,35517.24,2026-01-30,2026,1,2026-01,Papa Amarilla Primera,Papa Amarilla
Papa blanca primera Malla (45,kg),kg),35000.0,40000.0,38000.0,37960.0,2026-01-30,2026,1,2026-01,Papa Blanca Primera,Papa Blanca
Papa polilla Malla (45,kg),kg),5000.0,8000.0,6000.0,6333.33,2026-01-30,2026,1,2026-01,Papa Polilla,Papa Polilla
Papa roja Malla (45,kg),kg),25000.0,30000.0,28000.0,28000.0,2026-01-30,2026,1,2026-01,Papa Roja,Papa Roja
Papa semilla Malla (45,kg),kg),10000.0,15000.0,12000.0,12227.27,2026-01-30,2026,1,2026-01,Papa Semilla,Papa Semilla
Papa semillón Malla (45,kg),kg),10000.0,15000.0,12000.0,12333.33,2026-01-30,2026,1,2026-01,Papa Semillón,Papa Semillón
Papaya híbrida,Kilo,Kilo,300.0,350.0,300.0,318.18,2026-01-30,2026,1,2026-01,Papaya Híbrida,Papaya Híbrida
Pepino,Kilo,Kilo,600.0,700.0,600.0,612.5,2026-01-30,2026,1,2026-01,Pepino,Pepino
Piña - grande,Unidad,Unidad,1100.0,1200.0,1200.0,1175.0,2026-01-30,2026,1,2026-01,Piña Grande,Piña
Piña - mediana,Unidad,Unidad,1000.0,1000.0,1000.0,1000.0,2026-01-30,2026,1,2026-01,Piña Mediana,Piña
Piña - pequeña,Unidad,Unidad,700.0,800.0,800.0,755.56,2026-01-30,2026,1,2026-01,Piña Pequeña,Piña
Pipa pelada,Unidad,Unidad,280.0,300.0,300.0,294.0,2026-01-30,2026,1,2026-01,Pipa Pelada,Pipa Pelada
Plátano primera (verde y maduro),Unidad,Unidad,220.0,240.0,220.0,226.67,2026-01-30,2026,1,2026-01,Plátano Primera,Plátano Primera
Plátano segunda (verde y maduro),Unidad,Unidad,160.0,200.0,200.0,189.0,2026-01-30,2026,1,2026-01,Plátano Segunda,Plátano Segunda
Remolacha,Unidad,Unidad,250.0,300.0,300.0,284.0,2026-01-30,2026,1,2026-01,Remolacha,Remolacha
Repollo morado,Kilo,Kilo,600.0,700.0,600.0,636.84,2026-01-30,2026,1,2026-01,Repollo Morado,Repollo Morado
Repollo verde,Kilo,Kilo,250.0,300.0,250.0,263.89,2026-01-30,2026,1,2026-01,Repollo Verde,Repollo Verde
Sandía de campo - grande,Kilo,Kilo,300.0,400.0,300.0,336.36,2026-01-30,2026,1,2026-01,Sandía De Campo Grande,Sandía Grande de Campo
Sandía de campo - mediana,Kilo,Kilo,200.0,300.0,200.0,227.27,2026-01-30,2026,1,2026-01,Sandía De Campo Mediana,Sandía Mediana de Campo
Tamarindo,Kilo,Kilo,2000.0,2000.0,2000.0,2000.0,2026-01-30,2026,1,2026-01,Tamarindo,Tamarindo
Tiquisque,Kilo,Kilo,1500.0,1600.0,1600.0,1562.5,2026-01-30,2026,1,2026-01,Tiquisque,Tiquisque
Tomate primera Caja plástica (18,kg),kg),7000.0,8000.0,8000.0,7866.67,2026-01-30,2026,1,2026-01,Tomate Primera,Tomate
Tomate segunda Caja plástica (18,kg),kg),6000.0,7000.0,7000.0,6857.14,2026-01-30,2026,1,2026-01,Tomate Segunda,Tomate
Tomate tercera Caja plástica (18,kg),kg),5000.0,6000.0,5000.0,5400.0,2026-01-30,2026,1,2026-01,Tomate Tercera,Tomate
Vainica,Kilo,Kilo,1700.0,2000.0,2000.0,1857.14,2026-01-30,2026,1,2026-01,Vainica,Vainica
Yuca parafinada,Kilo,Kilo,500.0,600.0,500.0,533.33,2026-01-30,2026,1,2026-01,Yuca Parafinada,Yuca Parafinada
